index,North,South,West,East,ND,SD,WD,ED
1,,2,,,,3,,
2,1,3,,,3,3,,
3,2,,9,,3,,3,
4,,5,10,,,3,3,
5,4,6,11,,3,3,3,
6,5,,,,3,,,
7,,,13,,,,3,
8,,9,14,,,3,3,
9,8,10,15,3,3,3,3,3
10,9,11,16,4,3,3,3,3
11,10,,,5,3,,,3
12,,,18,,,,3,
13,,14,,7,,3,,3
14,13,,,8,3,,,3
15,,,21,9,,,3,3
16,,,22,10,,,3,3
17,,18,23,,,3,3,
18,17,,24,12,3,,3,3
19,,20,,,,3,,
20,19,21,26,,3,3,3,
21,20,,,15,3,,,3
22,,23,28,16,,3,3,3
23,22,,,17,3,,,3
24,,,,18,,,,3
25,,26,,,,3,,
26,25,,32,20,3,,3,3
27,,28,33,,,3,3,
28,27,29,34,22,3,3,3,3
29,28,30,,,3,3,,
30,29,,,,3,,,
31,,,37,,,,3,
32,,33,38,26,,3,3,3
33,32,,,27,3,,,3
34,,35,40,28,,3,3,3
35,34,,41,,3,,3,
36,,,42,,,,3,
37,,38,,31,,3,,3
38,37,39,44,32,3,3,3,3
39,38,40,,,3,3,,
40,39,41,46,34,3,3,3,3
41,40,42,47,35,3,3,3,3
42,41,,,36,3,,,3
43,,44,,,,3,,
44,43,45,,38,3,3,,3
45,44,,,,3,,,
46,,47,,40,,3,,3
47,46,48,,41,3,3,,3
48,47,,,,3,,,
